 period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
2013-09-01,2013-09-30,30,national,11,1400,f," National",National,U.S.,US,Multi-Family (2-4 Unit),4,193722,-0.055534760721064003,0.13487882284471309,216953,0.075487987717985483,0.20027923185388574,90,-0.070349431251616745,0.14501532924474314,100,0.045209383370491629,0.19111815178318747,9016,-0.11819643605012076,0.11924439498236739,7153,-0.079385001052999837,0.16634348724419934,14073,-0.060645306812911692,0.11089745484024394,56232,0.0060908753976134378,-0.016970543154961382,6.236497818529064,0.77042498413307481,-0.86416959189701537,63,6,-9,0.95886716361653457,-0.0039542314139919821,0.0047457166687007168,0.24645577777012631,-0.010186545668681518,0.019562920057943911,0.062720036410856647,0.0067904045419076089,0.0061611697765404996,0.26277261913674099,-0.01750363313994735,-0.042617550845920726,,,2023-01-15 14:42:04
2014-07-01,2014-07-31,30,national,11,1400,f," National",National,U.S.,US,Multi-Family (2-4 Unit),4,227490,0.032639641129926344,0.12298406551332075,219646,-0.071247883206765783,0.04037684760474991,107,0.063849714985869443,0.15979083607433209,103,-0.042141129170940372,0.050066743952820625,9424,-0.0022456683856985071,-0.074936116053154644,7368,-0.044497946231330854,-0.060082775659732413,15406,-0.0097594982257201979,-0.0099201463024171099,56951,0.037141855828830339,0.031833727084423113,6.0427827626359063,0.22948669080205431,0.62528191388369514,51,1,-6,0.96256112647873038,0.00031513942373528891,-0.0028981434271502238,0.24060386804556838,-0.001292140532904551,-0.026645211522478063,0.077073363627622973,0.0037563944432342511,0.020331638346525897,0.29091856537141414,-0.010734541221936345,-0.00014348710579481505,,,2023-01-15 14:42:04
2017-09-01,2017-09-30,30,national,11,1400,f," National",National,U.S.,US,Townhouse,13,242999,0.0067637171985681643,0.050383399311820565,257980,0.045296839975191405,0.065170422990882049,152,0.0087758103936854681,0.062065428346475437,159,0.043033002423230826,0.057514788686218621,47643,-0.1416229023879706,-0.00142214328867174,39991,-0.1401240748054946,0.067270587454069775,53595,-0.0794829428992333,-0.011292875783490919,124783,0.0018378548092605751,-0.09843729884326935,2.6191332651759001,0.37505354745666741,-0.28183910094467013,35,3,-5,0.98769559950476737,-0.0010000546180147785,0.0029089205568453291,0.25209911167667104,-0.015015815159373391,0.016016300816435458,0.097603239850903301,-0.00029468366545828961,-0.0010582816531342076,0.40247256637195161,0.0051727695146289165,0.041388697760148585,,,2023-01-15 14:42:04
2020-05-01,2020-05-31,30,national,11,1400,f," National",National,U.S.,US,Multi-Family (2-4 Unit),4,304096,-0.038348224451157154,-0.048520156844639173,394442,0.062064351875071422,0.15125119331971493,136,-0.037126092766151086,-0.076263498295274235,173,0.034332807786435549,0.12474130228886837,6283,-0.059686617919963103,-0.46866985653239224,7304,0.21995359135767512,-0.35526386931473652,10725,0.36620918715771356,-0.36825419441603502,30732,0.0045660411383274813,-0.20020670686453035,4.8908529243247818,0.31282194756931059,1.6416914118884773,34,-1,1,0.96689637126089067,-0.0045739078128996802,-0.0031453384231465709,0.2547160460572786,-0.022901127892613338,-0.0042095420841724573,0.084984920967392782,0.0078208375057500362,-0.017419929111402624,0.39942411693046226,0.083085473058322756,-0.043231358361223826,,,2023-01-15 14:42:04
2018-06-01,2018-06-30,30,national,11,1400,f," National",National,U.S.,US,Single Units Only,-2,292611,0.019185753714747733,0.05339991723926274,299829,-0.02461385431211971,0.062953278265728496,156,0.012702583865500383,0.058110101389991842,159,-0.0090881474044286481,0.064191813757170646,648011,0.058489854378669826,-0.03602122270553576,540722,-0.045088699361631956,0.0080316723259039602,756666,-0.064438039861666518,-0.0022061571203042529,1593451,0.048264786326835729,-0.034236078697184147,2.4589881610744908,-0.023985658598477233,0.0045452598564956759,31,-1,-4,0.9897536357507426,9.5837018867062085e-05,0.0018753796975411463,0.29668546331916923,0.0015049958690766529,0.012185020927295065,0.14953672985732974,0.010169079674635789,0.019674742625312658,0.41550031991166531,-0.042659309730889439,0.018936930618645265,,,2023-01-15 14:42:04
2021-04-01,2021-04-30,30,national,11,1400,f," National",National,U.S.,US,Townhouse,13,324629,0.020591417106626375,0.16593454534230467,331831,0.031426581401956755,0.1633175054595335,198,0.011638326687941847,0.18235815662902022,202,0.014999216849192587,0.18081588209566135,64042,0.063025568470387761,0.52079496591022845,65677,0.029873400234681657,0.88576144688857905,78232,0.1001294251585525,0.77928995728328254,72840,0.093289619461996098,-0.36094102500866798,1.1373747677741377,0.03148440025015864,-1.5692828160704291,19,-5,-13,1.013681598957453,0.0072387367202937369,0.021497717919580328,0.48621732818132918,0.060126561532315936,0.18576434754544147,0.0600915511975742,-0.0020807790115956737,-0.041419018369408575,0.6181843934319885,-0.0038293154805739693,0.2633603156596025,,,2023-01-15 14:42:04
2012-11-01,2012-11-30,30,national,11,1400,f," National",National,U.S.,US,Multi-Family (2-4 Unit),4,182518,0.059085138473551568,0.12083680493552973,180767,-0.026849570998667138,0.13425234035579803,85,0.05404571218315013,0.090279910138816977,86,-0.0060884987592124684,0.15080470489046083,8840,-0.044471615595816694,0.16100058102664216,6081,-0.13182682510530597,0.15292997762942973,9934,-0.21871353024192119,-0.09815255113441812,52417,-0.051408578303293817,-0.18932465711229884,5.9291692445657223,-0.043359474896266903,-2.5622311641669206,72,-2,-10,0.95114093789153575,0.00016379942136524051,0.008645240300167556,0.2269254004102387,-0.0015217015149891211,0.023133176456584914,0.050522605633188167,-0.0099044385730862813,-0.015060270460114086,0.27552644845516389,-0.017481805379050863,0.012376765320374739,,,2023-01-15 14:42:04
2021-05-01,2021-05-31,30,national,11,1400,f," National",National,U.S.,US,Condo/Co-op,3,301444,-0.0015200568039787088,0.19267774110004221,312172,0.0047660049775439806,0.096327162141935485,266,-0.0051498634115260122,0.25194128964769158,275,-0.0034827060322525361,0.12447059185014742,80317,-0.041922568026939389,1.1184176581024627,76806,-0.002714390829003932,0.7043178730141153,87655,-0.058322746511001888,0.24022902332402785,130057,-0.017280170688205532,-0.2638664873470703,1.6192874696876187,0.040604782811413997,-3.0406378161044305,25,-5,-17,1.0037268681094962,0.0056433215594663411,0.02586413223479489,0.39178736992307206,0.043569573026965847,0.20911767085672822,0.079712050040345553,0.0025893809790090011,-0.02980103695600847,0.50294006658891077,0.0088257223084288738,0.11682524697762509,,,2023-01-15 14:42:04
2015-02-01,2015-02-28,30,national,11,1400,f," National",National,U.S.,US,Single Units Only,-2,214888,0.0086213969886459463,0.06724566066331783,248513,0.072839013181075218,0.074406521377566426,117,-0.0017407435621578093,0.051498692707984572,131,0.0417502811987287,0.059635003680087229,324475,0.085246404705891621,0.078074026333013302,270655,0.11973913021580729,0.18479940182835253,507743,0.024096893832172173,0.066101617559741976,1696937,0.0079026223656259997,-0.0040021090279458438,5.2297809345977981,-0.40131956135150393,-0.43096497672027301,76,-0,-2,0.9705981082256453,0.0027396953094027676,0.00020317877313802413,0.18037603480067704,0.014662725613211636,-0.010805480864034656,0.08407957709391177,-0.0093464950108600592,0.015684819092529806,0.40106795671734985,0.07855119231421781,0.030382279419199243,,,2023-01-15 14:42:04
2017-04-01,2017-04-30,30,national,11,1400,f," National",National,U.S.,US,Single Units Only,-2,263206,0.021276156609143504,0.073677375099339137,286812,-0.00800276529459365,0.049562102414138609,142,0.019000294213736169,0.070809017698410637,150,0.00047412438013183511,0.051559587109163196,500579,-0.030541147427292636,-0.02005261200498154,482272,0.03601255344868215,-0.0053290116635134055,704108,-0.050612361971910214,-0.06299885896061086,1537172,0.041325335220040227,-0.11681923510634418,3.0707861512944099,0.21192858004269866,-0.33645389249727353,41,-9,-8,0.98523153858738144,0.0036458145756957938,0.0034646741716137797,0.26506519468385659,0.028303919539565403,0.021798226997272185,0.10604858076050884,-0.0023825575386886705,-0.0086832816660277756,0.45445170713536032,-0.014347411710475211,0.024525474409816617,,,2023-01-15 14:42:04
